sn,stock,ltp,point_change,percent_change,open,high,low,volume,prev_close,detail_link
76,KMCDB,"1,018.90",15.30,1.52,"1,010.00","1,018.90",999.00,764.00,"1,003.60",https://www.sharesansar.com/company/kmcdb
77,KPCL,356.00,4.00,1.14,359.00,370.00,355.50,"1,736.00",352.00,https://www.sharesansar.com/company/kpcl
78,KRBL,234.50,-0.50,-0.21,238.00,240.00,234.50,"4,386.00",235.00,https://www.sharesansar.com/company/krbl
79,KSBBL,336.00,-3.00,-0.88,340.00,344.90,334.10,"9,690.00",339.00,https://www.sharesansar.com/company/ksbbl
80,LBBL,376.80,-0.20,-0.05,377.00,382.50,372.00,"14,343.00",377.00,https://www.sharesansar.com/company/lbbl
81,LBL,197.40,-0.60,-0.30,198.00,198.00,196.20,"8,663.00",198.00,https://www.sharesansar.com/company/lbl
82,LEC,257.00,-6.60,-2.50,258.40,258.40,249.50,"2,800.00",263.60,https://www.sharesansar.com/company/lec
83,LICN,"1,410.00",-10.00,-0.70,"1,420.00","1,438.00","1,387.10","2,552.00","1,420.00",https://www.sharesansar.com/company/licn
84,LLBS,"1,206.10",-14.90,-1.22,"1,220.00","1,230.00","1,206.10",142.00,"1,221.00",https://www.sharesansar.com/company/llbs
85,LUK,8.29,0.16,1.97,8.29,8.29,8.29,"11,500.00",8.13,https://www.sharesansar.com/company/luk
86,MBJC,229.00,2.00,0.88,224.00,232.50,224.00,"5,099.00",227.00,https://www.sharesansar.com/company/mbjc
87,MBL,220.00,0.10,0.05,222.00,222.00,218.00,"13,107.00",219.90,https://www.sharesansar.com/company/mbl
88,MDB,375.00,2.90,0.78,378.00,380.00,375.00,"3,242.00",372.10,https://www.sharesansar.com/company/mdb
89,MEN,780.00,-9.00,-1.14,798.00,798.00,776.00,"1,843.00",789.00,https://www.sharesansar.com/company/men
90,MERO,815.00,0.00,0.00,820.00,825.00,811.00,587.00,815.00,https://www.sharesansar.com/company/mero
91,MFIL,407.50,-2.50,-0.61,411.00,415.00,401.80,"6,241.00",410.00,https://www.sharesansar.com/company/mfil
92,MFLD85,830.00,-13.00,-1.54,832.00,832.00,830.00,140.00,843.00,https://www.sharesansar.com/company/mfld85
93,MHL,393.00,5.00,1.29,388.00,399.00,381.00,"7,310.00",388.00,https://www.sharesansar.com/company/mhl
94,MHNL,265.00,2.80,1.07,266.00,267.00,260.00,"7,480.00",262.20,https://www.sharesansar.com/company/mhnl
95,MKJC,464.90,-7.10,-1.50,463.00,466.00,461.00,"5,250.00",472.00,https://www.sharesansar.com/company/mkjc
96,MKLB,951.00,-16.00,-1.65,952.00,952.50,948.10,156.00,967.00,https://www.sharesansar.com/company/mklb
97,MLBBL,"1,155.00",5.00,0.43,"1,154.00","1,155.00","1,154.00",316.00,"1,150.00",https://www.sharesansar.com/company/mlbbl
98,MLBL,369.00,-2.00,-0.54,378.40,378.40,363.00,"20,227.00",371.00,https://www.sharesansar.com/company/mlbl
99,MLBS,"1,167.00",47.00,4.20,"1,142.00","1,180.00","1,137.00",135.00,"1,120.00",https://www.sharesansar.com/company/mlbs
100,MLBSL,"3,760.00",55.00,1.48,"3,700.00","3,925.90","3,700.00",195.00,"3,705.00",https://www.sharesansar.com/company/mlbsl
101,MMF1,7.36,-0.18,-2.39,7.68,7.68,7.28,"33,950.00",7.54,https://www.sharesansar.com/company/mmf1
102,MMFDB,"1,000.20",0.20,0.02,"1,020.00","1,020.00","1,000.20",561.00,"1,000.00",https://www.sharesansar.com/company/mmfdb
103,MNBBL,433.00,0.00,0.00,440.00,440.00,431.00,"3,905.00",433.00,https://www.sharesansar.com/company/mnbbl
104,MPFL,330.00,-4.00,-1.20,339.00,340.60,330.00,"12,746.00",334.00,https://www.sharesansar.com/company/mpfl
105,MSLB,"1,160.20",-47.70,-3.95,"1,183.80","1,183.80","1,160.20",70.00,"1,207.90",https://www.sharesansar.com/company/mslb
106,NABBC,420.00,-17.00,-3.89,429.10,436.80,420.00,"6,482.00",437.00,https://www.sharesansar.com/company/nabbc
107,NABIL,784.90,0.90,0.11,786.00,790.00,781.00,"55,803.00",784.00,https://www.sharesansar.com/company/nabil
108,NBF2,9.28,0.08,0.87,9.28,9.28,9.28,"1,217.00",9.20,https://www.sharesansar.com/company/nbf2
